"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"CP",13.5403289902105,13.2178918388398,13.6249094655033,13.9932915237895,13.7404977380123,11.9048349829122
"PKHD1L1",8.72395415446016,14.3610380905285,11.9354338309049,13.3289425082641,12.9452268622254,14.6352422930867
"HSPA8",13.826328646011,13.151815330884,13.459883993654,13.4192003821361,13.3876518033893,13.45578702258
"ACSL5",13.6006952202575,13.6226917203429,12.7735762595577,13.498515016504,13.3418397953403,13.764995814739
"ITGB1",13.1937642835929,13.4399604969582,13.4993229423737,13.3624504535859,13.3473018243043,13.3933339279001
"DST",13.2257775347895,13.711779722251,13.155986460234,13.1205650791722,13.1579610869152,13.843746528548
"ATP2A2",13.0961221585633,13.0386722212909,13.1149584561908,13.8046898377299,13.6649870619592,13.1436602221482
"LDHA",13.4057995512651,12.7524973699856,13.3727159605655,14.0201246167798,13.3572772431608,12.7638318141474
"SCARNA10",13.4317537811453,13.5214927767392,13.2369968321995,13.4828235943778,13.0416782595706,13.2757051662982
"COL4A1",13.2694762973984,13.3639828167801,13.4181552645456,12.9821531852692,13.1521560040419,13.6726243748206
"SLC34A2",12.7848496506597,13.174331963759,13.2843987752073,13.8742190409016,13.6374491004694,12.6978842995051
"IL1R1",13.3542475225479,13.463417398267,13.4604526688771,13.4145351982693,13.2212521493644,12.8555816324104
"MYH9",13.497971751245,13.0548078902937,13.3413745847911,13.4576209422408,13.5294737964786,13.0184769162024
"SLC39A14",10.5204683160152,13.9758474076699,12.9863677472243,12.6322277601657,13.3098687106682,13.9851956011332
"RANBP2",13.237526849268,13.1375429958521,13.2240327743142,13.5665899423181,13.2576388237096,13.2065463630346
"DYNC1H1",13.2171836963457,13.2178429773661,13.3849262570914,13.3700222213932,13.3566111332191,13.1748462734534
"VMP1",13.2552836965226,13.1650769571372,13.1456545279769,13.7390116699197,13.244570987136,12.9880155490164
"PAPSS1",12.9520053802325,13.543388898922,12.7834753608922,13.6972133604997,13.4035918048566,13.0148299963906
"KCNQ1OT1",12.9329657988966,13.3738870337922,13.1457007236268,13.0033085924678,13.2718556800274,13.6843507024288
"EIF4G2",13.276142099695,13.0869321622598,13.3039906701208,13.245892431495,13.2289549861492,13.2044724193938
"YWHAZ",13.4496399501152,13.1413813448878,13.2919226857823,13.2710737317051,13.3332186243216,12.8319409324784
"GOLGB1",13.1493012431549,13.2551678164855,13.0875728449109,13.3978696185211,13.1452263509751,13.3268675720473
"HNRNPH1",13.3872115888637,13.153662020987,13.2510038731742,13.328944655775,13.1343872951524,13.1260126693233
"DLG5",12.2415885012801,14.0892680037714,12.967856792852,12.9402028146919,13.0809390025685,13.4157606130239
"DSP",12.8164751496088,13.4695644832058,12.7876571712958,13.5907765832572,13.5592147260589,12.8464575934801
"PRRC2C",13.1943775329393,12.9421063108052,13.2397807789664,13.4608990225607,12.971620486051,13.3496991231719
"PABPC1",13.1364143386849,13.3249617033239,13.3134118780832,12.8468204868097,13.2679033123689,13.2198759431338
"NID1",13.2594198490156,12.9496083970857,13.4210199229875,12.7773469453154,12.9367567096308,13.3333260536977
"USP9X",13.1762453557433,13.4207885319483,12.5723451825641,13.3621617103343,13.0564008964046,13.1150363980381
"HNRNPA1",13.3036663201996,13.2297943912103,13.2978460313729,12.9322375276597,13.0801170079583,12.8395227515941
"MT-ND3",13.5440164925245,13.0195427587442,12.6467966591708,13.4413206157475,12.9168274617391,12.9384171056205
"MTR",12.8584902760895,13.4074277191999,12.9013980049265,13.2042070937665,13.1720574379405,12.7611750917395
