"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"SLC35E2A",9.0702926,8.3546048,8.6334544,8.5496998,8.5413323,8.6623211,8.4654522,8.4130555,8.6495514,8.2189293,8.2061205,8.7219706
"SLC35E2B",10.9019376,10.6151876,11.158413,10.5654793,10.5088225,9.8395052,10.3396988,10.3684988,10.5616608,10.3698731,9.4806452,10.1470156
"SLC35E3",7.43381218,6.975046193,7.24345592,6.71163276,6.404233,6.6883569,7.37723068,6.57473472,6.88038639,7.037860905,4.902812,5.6824513
"SLC35E4",14.491683,14.6344986,14.4486552,14.4801579,14.8998106,15.1705386,14.6761971,14.5748246,14.377657,14.3460406,15.2617346,14.2306576
"SLC35F1",5.2927537,6.41594604,5.8225632,5.875887,5.9236174,6.08351806,6.17561725,6.2863913,5.6235981,5.8641072,6.98552612,6.32538084
"SLC35F2",7.6680937,7.097350155,7.9948378,6.6151934,7.064397847,6.94121078,7.57719043,6.4261675,6.5683413,7.18135551,7.38229374,6.73198703
"SLC35F3",3.5503254,3.7211914,3.1000533,3.434002,4.3955264,4.3080001,4.5842119,4.3049536,2.9242421,3.2258978,4.8178182,4.8616305
"SLC35F3-AS1",0.8781626,3.2113328,1.6637969,0.6295853,2.5180111,1.8156681,2.6558681,1.7828951,2.2124406,0.9786226,2.3318239,2.4762746
"SLC35F4",4.3922658,4.5351754,4.0161329,4.6722474,5.0804139,5.3157149,4.4065256,3.6664296,3.8549195,4.2615819,4.4700746,5.0056858
"SLC35F4-AS1",2.6357586,2.9360386,2.9663616,3.1120386,3.4906187,2.9582081,2.3830006,1.9643716,2.3545781,2.1631686,3.9311614,3.2547256
"SLC35F5",9.1087504,9.3728866,9.2535,9.4326878,8.3208084,8.50064,9.0815736,9.1250973,9.1950255,9.3920546,7.9328299,8.6466876
"SLC35F6",8.5527258,8.1996823,7.81843094,8.9607602,7.63902477,6.971545254,8.3516255,8.6612349,9.365943,8.8067436,8.366333,6.82262138
"SLC35G1",6.76714233,6.7991772,6.72782806,7.25293449,7.7926817,8.1375323,7.1607323,7.05607513,7.2112904,7.50619892,8.2403803,8.516181
"SLC35G2",3.4435172,3.9711542,3.8874488,3.1425562,2.3793459,4.6367693,3.7628456,4.0734072,3.7647462,2.5101633,2.2644043,2.756238
"SLC35G3",0.945542799999999,0.7344056,1.6731959,0.139864999999999,1.7306186,1.8584099,1.6226316,0.825255599999999,1.1516596,1.0426816,1.9018906,2.3070796
"SLC36A1",6.140544,6.6823807,6.33781437,6.54970936,5.8913837,6.2273193,6.48201374,6.58950428,6.74878124,6.48247245,5.7390929,5.9659386
"SLC36A2",0.7786699,2.4073439,1.620842,0.0279102999999994,1.7141476,1.8375506,1.5380893,0.780622599999999,1.6254731,0.938958199999999,2.1044806,2.7716556
"SLC36A3",3.1070333,4.1942006,3.2985783,3.6560297,4.0607472,4.7350479,3.0125166,3.95891,3.554894,3.0461336,4.6527696,4.5102836
"SLC36A4",11.3681631,10.897173,10.8349266,12.0616303,11.4682322,11.4609766,10.6111393,11.8982716,12.6157476,11.435647,10.6139908,10.6112633
"SLC37A2",10.1175156,8.8980236,8.4684315,4.9587436,9.9075756,4.6889272,10.5453444,5.7289868,5.9859658,6.2894316,8.124588,4.4393859
"SLC37A3",9.0826292,8.7631836,8.9066773,8.7081032,7.57736114,7.8222323,8.7570305,9.1734162,9.3149071,9.1665764,7.5665827,8.6085997
"SLC37A4",10.1864148,9.1559201,9.9677344,9.2551956,9.4818496,9.6356154,9.1046639,8.7147885,9.1054316,9.5003271,9.5940676,9.3675881
"SLC38A1",8.1479321,7.849247,7.09103683,8.2482491,6.61047653,8.0769244,7.3038998,8.4115143,8.9778347,8.5132103,6.9144421,7.7193728
"SLC38A10",8.9625645,8.4153939,8.5104189,8.5472412,6.79428486,7.50391868,8.3966999,8.5486651,8.845871,8.8607378,8.1103211,6.4884625
"SLC38A11",3.382236,3.2321654,3.4791251,3.9663296,3.5886879,3.2545452,4.1433359,3.8155046,3.5098467,3.2458101,2.6346159,2.7987862
"SLC38A2",11.326993,11.616869,10.8002996,11.1754189,11.2821131,10.2845421,11.2396202,11.3309689,10.5600576,11.7188721,10.8191653,10.1944218
"SLC38A2-AS1",1.4215041,3.3043256,1.7806156,0.2027192,2.3357802,2.2296586,2.0840063,1.5471659,1.2193556,1.0557433,3.1522876,2.3798916
"SLC38A3",9.2053728,7.70844844,7.7488375,7.7232199,7.36290935,8.1832466,7.53694156,8.00248245,7.77618793,8.7748738,8.7823115,7.9282952
