"","GSM2771795","GSM2771796","GSM2771797","GSM2771798","GSM2771799","GSM2771800"
"MEPE",4.940775999,4.59184944166667,4.1324889255,4.86482844283333,4.8826444995,4.66389627933333
"MERTK",2.7624575275,2.63995315216667,4.55004683083333,2.49261593,3.35410922766667,2.59086200533333
"MESDC1",6.0182137255,6.399962741,6.84582878883333,5.6275596305,4.900835547,4.69961872033333
"MESDC2",7.808082719,7.9864808235,6.33899752333333,9.00251559533333,7.6318366695,8.7100956735
"MESP1",3.34922127133333,3.8128497455,3.1440765815,5.1382987515,3.01573434633333,3.84198879383333
"MESP2",4.52163979483333,4.52579428266667,3.8853543135,4.6904606555,5.35130988783333,5.248497018
"MEST",7.10083436066667,6.00351406416667,5.17394023683333,6.971773204,7.6173274885,7.31504026783333
"MEST-IT",2.56988450466667,2.98244925566667,2.3625546905,2.57129031233333,3.81901636533333,3.65321739891667
"MET",4.62640808733333,4.644891888,9.15834335416667,4.87019213083333,4.600093815,4.15222121033333
"METAP1",7.09851137666667,6.87852424916667,7.90141184366667,7.1298190695,7.45198815533333,7.36966783166667
"METAP1D",4.09018008866667,3.42422157683333,3.06440759733333,4.0351718775,3.26398873733333,3.89204746733333
"METAP2",7.96562978,6.61588322816667,7.85228085583333,7.112363817,8.05792735183333,7.6852668015
"METRN",7.0204894075,6.62189727666667,6.17229459116667,6.626719783,6.95438640816667,6.83362913716667
"METRNL",5.397641904,5.36413187116667,4.87412025616667,5.15825155866667,5.9581041625,5.73768807533333
"METT10D",5.94356879183333,6.213621568,5.2458071105,5.74389250533333,5.18609202833333,5.458400325
"METT11D1",7.90595615083333,8.2107701885,7.3263694375,7.37836907616667,6.554620849,7.3290968565
"METT5D1",4.80398234116667,5.85528360266667,5.23025408266667,4.69982731316667,4.48567148916667,2.834386618
"METTL1",6.4126152495,6.7053002215,5.28299020216667,6.23202528466667,4.38418430783333,6.55651648966667
"METTL10",4.563193196,5.88651795483333,4.85296877766667,4.629571144,3.99796554066667,4.32655146016667
"METTL11A",6.971773204,6.0647325465,6.04196673983333,6.360253401,6.417226471,6.077110682
"METTL11B",2.90206682766667,3.468732798,3.061158489,2.86818625933333,3.984658895,3.36346105716667
"METTL12",2.9927963,3.59056277416667,3.36509507866667,3.80551448983333,3.4847088695,3.65321739891667
"METTL13",6.04589928483333,5.920001507,5.804594798,5.840390167,6.3212430015,6.31691570316667
"METTL14",4.813029293,6.38805216066667,4.95650766616667,5.55677483416667,3.75187134483333,5.29011423683333
"METTL2A",5.99273036133333,5.80248023633333,5.4341373055,5.88497218825,6.07960252466667,5.796168415
"METTL2B",5.67571026541667,5.48879209016667,5.05311762583333,4.95068627033333,5.70397262116667,4.99159676166667
"METTL3",7.03003553766667,6.6395101415,6.89454305233333,6.4371336115,5.793776122,6.54229995
"METTL4",4.33103913066667,4.30301927233333,4.61372218216667,4.18916971833333,4.82955221466667,3.83501011216667
"METTL5",7.99287004133333,8.26634858533333,7.6878518405,7.59903552866667,7.504164013,7.49654530433333
"METTL6",4.39607945591667,4.11456783566667,3.67836243033333,3.75754119466667,4.15473136583333,5.3526759835
"METTL7A",5.99273036133333,6.91512410066667,8.686798843,7.06726665516667,7.44448527866667,7.24681617133333
"METTL7B",3.88787884033333,3.64804297616667,2.49383247183333,3.31592886016667,3.037724485,4.147471341
"METTL8",4.13970081966667,4.5175120225,4.80671977816667,3.9140151255,4.24387336,4.77023152016667
"METTL9",8.855506417,7.96601874683333,8.36380550266667,8.31250743116667,8.59888343716667,8.6631344325
"MEX3A",6.61461026033333,8.01843051116667,4.8460549435,7.44181704483333,4.68481209766667,5.86763281366667
"MEX3B",5.70471320133333,6.80125621633333,5.790448329,6.39504994983333,5.691679702,5.87237613316667
"MEX3C",5.34749572166667,5.68488479066667,6.03051532533333,5.38571145766667,5.7241176155,5.6368290615
"MEX3D",6.67989719183333,7.00180314866667,7.10754520316667,6.989426342,7.00955251316667,6.98125544533333
"MFAP1",6.92780111966667,6.35146219033333,7.35658064,7.03175983083333,7.08982078516667,6.57697307366667
"MFAP2",4.41711950066667,6.14326032016667,4.99285237316667,6.23202528466667,4.16216837716667,4.32623899733333
"MFAP3",5.1553866495,5.45074786666667,6.43997003116667,5.738533876,5.18695412466667,5.40688137083333
"MFAP3L",3.97917966233333,3.11344328316667,3.18464965083333,4.09909371416667,3.84788620616667,4.291344941
"MFAP4",4.65852412416667,5.9167594395,4.37178781116667,6.01349020916667,4.76961925133333,4.99582273566667
"MFAP5",2.44895566083333,2.33295753783333,7.28510120616667,2.48404252383333,3.154602723,3.1962790725
"MFF",7.861599535,6.93692774183333,7.23866413816667,8.006023212,8.71604943666667,8.526716964
"MFGE8",6.4369283635,6.25153586616667,6.45204687983333,6.40872251316667,6.714450843,6.79543779416667
"MFHAS1",7.43446908833333,6.59817092133333,5.59659958583333,8.213490707,8.05859514316667,7.542702624
"MFI2",5.15126759583333,5.02326011133333,4.14982247083333,5.302874266,5.20308177416667,5.66399078116667
"MFN1",5.19033269616667,5.0740326755,5.551204026,5.36707293166667,4.6759310375,4.95998343466667
"MFN2",6.56058568083333,7.07317753416667,6.43211822216667,6.63055197916667,5.88322425033333,5.94535729583333
"MFNG",5.37400355466667,5.07338775033333,4.234449374,5.02377424383333,4.6889967235,4.8167251855
"MFSD1",6.62799950983333,6.32783965533333,8.321574462,6.01993624066667,5.34299847683333,5.69440473683333
"MFSD10",5.87867235933333,6.74555320483333,5.77512260583333,6.695645547,6.259907327,6.21262057783333
"MFSD11",3.471226641,3.56072332916667,4.85850607683333,3.98681426116667,3.72767157416667,3.65321739891667
"MFSD2A",4.88618069733333,5.1290313905,4.91435217616667,4.07579235066667,4.02968118883333,3.228572757
"MFSD2B",5.36914574683333,5.62025565416667,4.69086896883333,5.71542779866667,5.471537893,5.9183978145
"MFSD3",3.2746534945,3.025289836,3.693884192,3.83268312283333,2.74640913133333,3.62836114766667
"MFSD4",4.305766671,4.288792073,4.73552772633333,4.48527874933333,4.3699850435,4.82358076083333
"MFSD5",5.35164820133333,5.076037322,6.73520709916667,5.6709492195,5.691679702,5.56746955533333
"MFSD6",3.38218704483333,4.4367657955,5.97276408916667,3.75063320566667,4.4286401295,3.9937813205
"MFSD6L",4.03078838516667,4.1202543185,4.05320747483333,4.108689533,4.4898201285,3.8811232645
"MFSD7",5.50897095316667,5.36173234766667,4.01002240666667,5.73442182833333,5.59082624883333,6.316007373
"MFSD8",3.57873887666667,3.770215378,5.58710967916667,4.309246815,2.68329509683333,2.6277268745
"MFSD9",4.17707941883333,4.24797263808333,3.97680669475,5.08787496916667,4.21473470966667,4.11791310066667
"MGA",8.38801661133333,8.92940658216667,4.920613913,9.876690086,7.40798200383333,9.09582611916667
"MGAM",3.08806643033333,2.95814905316667,2.31670718883333,2.87833018883333,3.1327924215,3.5180081085
"MGAT1",7.55241396066667,7.22974742833333,6.38612848733333,7.56311070116667,7.53006053766667,7.86170055725
"MGAT2",5.274806588,7.35266514733333,7.68748713583333,5.36120727883333,4.544576849,4.2233410635
"MGAT3",5.8248939625,5.10276827866667,3.68887946466667,5.38750580566667,6.24281144333333,5.5380466555
"MGAT4A",2.97966856483333,3.04454143116667,3.81114301133333,3.69827435733333,3.96610240983333,3.17242204316667
"MGAT4B",6.07055286325,5.83476628333333,6.277670355,6.20012611733333,6.84203781133333,6.51050039333333
"MGAT4C",2.09404219316667,1.6770235725,1.80198300483333,1.89565893983333,1.84008195516667,1.73153044983333
"MGAT5",2.15086725166667,2.35670935916667,1.9309970105,2.31335480733333,2.114681984,2.33172149033333
"MGAT5B",7.510176877,7.02569528616667,4.90272280516667,7.76365149033333,7.5734564575,8.15875765983333
"MGC13053",1.63351648633333,1.81006049633333,1.92652619933333,1.52697470266667,1.67911747333333,1.77454760733333
"MGC15705",3.94458525066667,3.08510141966667,2.42396931,2.75665114416667,2.67110056,2.88273075233333
"MGC16075",2.13870288683333,2.5645500125,2.30381662916667,1.90758994583333,1.95559845733333,2.20258258516667
"MGC23270",4.38677689866667,4.11897521466667,3.66277181883333,4.0936464305,4.64001933583333,4.36090993216667
"MGC24103",4.03528073816667,3.94793481333333,2.86218405983333,5.0367127915,3.47088869633333,3.79776851933333
"MGC27345",4.77676815966667,4.46548241116667,4.6608874195,4.76177877416667,4.50652621516667,4.51175941466667
"MGC29506",2.53871166833333,2.48813069233333,2.34532879833333,2.14042273566667,2.22486641333333,2.2390224435
"MGC34800",2.13185367583333,1.974566118,1.68193595983333,2.22722679416667,2.0904888135,2.681059875
"MGC39372",3.33036117466667,3.87163764616667,2.52135246116667,3.7040672165,3.96342174216667,4.13149037666667
"MGC39545",2.05832407516667,1.7754320475,1.4973577465,1.9115882245,2.43359472008333,1.90569293766667
"MGC39584",4.99329442233333,5.0806065435,4.12569934183333,5.87624485116667,4.76001860016667,5.16043990916667
"MGC42105",2.732443241,3.50569766566667,2.5344986515,2.14272700383333,2.43359472008333,2.117300396
"MGC4294",3.66869936616667,3.4734765245,2.83572103,3.51981533983333,4.0164327055,3.545958151
"MGC45800",2.769668905,2.75138827283333,2.398107594,2.63101234583333,3.363779771,3.39464337883333
"MGC45922",4.08383740366667,4.24797263808333,3.40928252833333,3.984956152,5.17281207583333,4.673429756
"MGC50722",4.77394068433333,4.51286208316667,3.51396392033333,4.82717342783333,4.84181502933333,4.77775326416667
"MGC5590",2.91455889266667,3.240772454,2.739200753,2.9636227635,2.48104219566667,3.97188048666667
"MGC87042",3.33351768566667,3.18600863783333,3.09496562483333,3.73681939633333,4.67774238333333,3.346441981
"MGC87042 /// STEAP1",2.40263772,2.42757217533333,3.38736040283333,2.30423802983333,2.07771714966667,2.55004412216667
