"","GSM2425674","GSM2425675","GSM2425676","GSM2425677","GSM2425678","GSM2425679","GSM2425680","GSM2425681","GSM2425682","GSM2425683","GSM2425684","GSM2425685","GSM2425686","GSM2425687","GSM2425688","GSM2425689","GSM2425690","GSM2425691"
"AATK",7.8639289133459,7.97423709584746,7.48132929879753,7.15605434854313,7.39328027209544,7.45081419244058,7.19111312021352,7.28951874889773,7.4074263457465,7.80801338781693,7.62681188210727,7.89161214898526,7.73649501850858,7.74375568437255,7.41413350292433,7.44024014001143,6.52129797203009,7.33317199153418
"ABAT",7.14444166938498,6.86508009088868,8.22159707751783,8.25686187033931,7.30396846893858,7.69095730658157,7.19669418068439,7.71123167338894,8.33628320931306,8.44696152210216,7.310800524275,7.46312673951659,8.93958644246319,8.40362715816538,7.20193922543641,8.27710817395587,7.35967542541215,8.53798967696595
"ABCA1",11.9225836074102,11.58965623011,11.5219369606156,11.6406484276296,11.5179974802973,11.5282630704463,12.0992566889058,11.5048993414237,12.2789578141052,11.7639090003784,11.8660551971478,11.4020660023687,11.3491158043109,11.4769318997434,11.1405581121734,11.6997706085467,11.4981256137388,11.2624771206536
"ABCA10",5.07005476418881,5.37098759561771,5.07852786105841,4.80817074149305,4.90661193619621,4.63504052749967,4.35473543869033,4.82308659741967,4.91696311370215,5.06044614551229,5.26948391822609,4.99742461098366,4.62418411338346,5.11423291138509,5.0868427734719,4.82003872053421,5.35093847455941,4.9653088787208
"ABCA11",6.40437062828205,6.97078418616572,6.18968364219484,6.58625388604145,6.31263250346383,6.65541938179875,6.41482355879274,6.53938000738969,6.31560046421404,6.68319956520253,6.98598147614212,6.65927397198875,6.04606776739466,6.27406071376773,6.17188713441652,6.60631711214517,7.01743268910187,6.57149934392619
"ABCA12",6.17067821219797,4.56524000205219,5.46173088405041,4.50616090179735,4.69042413577769,4.33991006049477,3.88609434367022,5.10773473103721,6.21656913541465,7.54713020939724,5.98281040352235,7.5145046657309,6.52342912790992,6.02379448765796,7.35054551291231,5.77251595976303,6.77336487603717,6.701476559973
"ABCA13",3.47360250496364,5.07563274354178,4.49689991094277,5.86072100454661,5.52817902501203,5.23726580284934,4.9289959711181,5.82948224473101,4.47649652826198,4.21103564098435,4.94681459390108,4.10341018573029,4.03557886879222,3.16309935963262,4.94681459390108,5.33977341333716,5.26507602712893,4.24571667455901
"ABCA2",6.40200191137133,6.68651789544615,5.97751233897909,6.20854632722706,6.10812400105971,6.26538232135619,6.02998816503694,6.44881094504117,7.00020804867353,7.65426481794181,7.08713565183481,6.76172607382908,6.90720482845431,7.1071434086293,7.59717999226468,6.968835644865,7.07198742944394,7.78263763748618
"ABCA3",7.80877283223991,7.20959626334433,7.87166724263434,7.4395106096039,6.1285606642177,6.97038272341371,7.52814119661879,7.4828366691976,7.17842643186421,7.67840760260428,7.22291620487948,7.33137613760281,7.12166881869536,7.82879949540444,7.16218042305085,7.09040315297943,6.86005499457045,6.79082754511132
"ABCA4",4.99819654138773,5.03595468002305,5.54682625814638,7.13068957701974,5.23585876483836,4.99447925701027,6.86543721739213,5.59768044163946,4.80333006763803,4.97860091879161,5.41108044560738,5.21289379202562,4.84046751411026,4.96647882705113,5.16843866090848,4.62478072001195,4.51154811649585,4.56363246595981
"ABCA5",7.01250453740015,6.15941383911983,6.84661341018813,6.26157049257235,5.81047575177765,5.53733458814958,6.08892431460841,6.68679940022504,6.94884224978992,7.33344842249158,7.24188174051356,7.46829869224798,7.28857229263257,7.47211453957263,7.77233674621708,7.07177510923105,7.44373311380001,7.56118146251195
"ABCA6",6.31869030276173,7.23287906300616,6.30560305375153,7.04870875132853,6.68776002428945,6.96034327157147,8.31882910598534,6.92836665113037,6.14844892284345,5.95534488984583,6.0774660524265,5.0834925176262,6.02246413745085,5.68640892014316,6.13712784131558,6.39828349500985,6.51258609308786,5.91885036026965
"ABCA7",7.48026722275136,6.90313084650349,7.19381470826495,6.50229017971703,6.69880924534964,6.78415949574608,6.91364556515526,6.69293932641371,6.75927516553003,7.53446833053495,6.91649264775421,6.75410101903006,6.86056048999527,7.06621579754167,7.22129381595738,7.26854911141827,6.74424426346562,6.8960234251762
"ABCA8",8.53918386414309,9.51384257278397,9.81692229941563,8.72080980018682,8.54670682018099,8.94066320826059,10.1375430487491,9.8378854824893,9.71132997845802,8.88296199642206,9.48534261383002,8.15843377724455,7.81265519330962,8.35316297300359,8.92121749863899,10.1607914675956,9.11962764254894,7.68157477882144
"ABCA9",6.12260936142227,6.45837019164826,6.44032985176263,5.93767748252727,6.25325204069252,6.33512662558948,7.12126266930798,6.67986978565882,6.51591788161392,6.17051778722835,6.19377194048615,5.85952633828362,6.07008830564865,6.29659432841829,6.4585842783425,7.11632274956526,6.35809660716136,5.72298699468468
"ABCB1",7.95611219324322,9.14678340303973,8.69051298798317,8.85252126986762,8.63230697286484,8.84664706737065,8.71549071296314,8.57342853257367,7.83931126172428,8.3826994986245,8.27336044100757,7.17327397474431,8.00667424712387,8.04424306565191,8.66478773107213,8.43990134477446,8.59890208110838,8.29414862550691
