"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"LAMB1",13.6456606984098,12.9672749689586,13.0987093241515,12.7352327885842,13.1053871831375,13.5270683357218,13.5281933781001,13.0891755135155
"VIM",13.4693273267992,12.9518030700358,13.2188903912971,12.8736908004903,13.2703563563098,13.5704958653722,13.2068970956364,13.1961357438476
"DSP",12.5595403103986,13.6183832829632,13.1894177533552,13.3224753652502,13.3760789760347,12.776557017443,13.4015035168932,13.2600879213405
"DYNC1H1",13.2499045098518,13.0574449007645,13.1982443344234,13.2731835022246,13.3678090828285,13.1994690005348,13.2695531631939,13.0317440728533
"ZBTB20",12.7767466918851,12.9740036973582,14.0962638406762,13.7206333721078,12.7218563362544,12.5306992824309,13.0273365515199,13.3381166963785
"DLG5",12.644492638891,13.4084115800834,12.8389067455006,13.7544719298548,12.9043390079335,12.7404377962504,13.3414150323974,13.4251732509004
"LINC01317",13.2176840475985,13.6303195545391,13.6736278289486,12.5008942031439,12.2043652748717,12.6475349446561,13.9102084509203,12.4258124256683
"REV3L",13.3737244703193,12.9136596736448,13.1796947232488,13.1717849166508,12.6201755592491,13.1962431341757,13.3581810302456,13.2523024025122
"VPS13C",13.061664315362,13.1115845803556,12.9118542910896,12.9404340562331,13.2611789700378,13.3625178390351,13.433015520627,13.0255999782024
"LDHA",13.3861637079033,13.4548643815008,12.0272185420801,12.2286650507684,13.4951165163523,13.6536889828966,13.2095765277617,13.0073537814907
"ITGB1",13.1576735457618,13.2169269295054,12.9740365314932,13.0522244363961,13.246214811198,13.1816754919158,13.0738140778541,13.2139691098292
"MYL6",13.245870085188,13.3545184734679,12.4280926992264,13.1083902101927,13.2290775491738,13.2706307816972,13.0803875426473,13.1923115847068
"UCA1",12.3490823584052,13.4079762669124,12.650673962392,13.094331815694,12.9575611442234,12.8724115560269,13.2844092845655,13.8298023185253
"TGM2",14.0815907843504,12.5140290030483,12.9439464477433,11.021849861598,13.6656058812115,13.8998794115585,12.5662564227108,12.0216827403581
"EIF4G2",13.0706203856053,13.2056462169709,12.9305295308187,13.0104379110333,13.2596503814612,13.2048557020724,13.2034318363913,13.0201833591754
"RPS4X",13.3025433661541,13.0155161939963,12.7338321882615,12.9154638143676,13.2247784754391,13.4228682862867,13.091142212324,13.0624247159819
"MT-ND1",13.2486231748404,13.2496778795806,12.1701453757974,12.6689769239943,13.7822013921049,13.3423109661028,13.1476729971355,12.7746059714763
"HDLBP",12.9685613024899,13.181277425472,12.9723192340166,13.2902027793636,13.0516547873294,13.1285549734342,13.0104466632368,13.2107726706933
"RPS8",13.3623847912234,12.9633044735506,12.5401251775442,12.6749812727136,13.2444962791963,13.4275612041365,13.0987588225179,13.1729995200863
"RPL3",13.2768345096444,12.9996379715055,12.6929576568242,12.8738403292916,13.2781928144778,13.3949290402941,13.0193828766022,13.0332909706274
"RPS3A",13.2550682482576,12.7968211717159,12.3514192969164,12.6676387477578,13.3770479378695,13.4678582382084,13.1548276133444,13.1505369612854
"CAPRIN1",13.1052997658614,13.3784424303139,12.3374066840847,12.6244735256494,13.5920963662311,13.2829360120087,13.0995481212499,12.6195394066756
"HLA-B",13.8496231344003,12.6335044466659,12.6925492551793,12.2276295590758,13.2875562355334,12.9528879198121,13.090948600334,12.8859411823633
"DCN",13.4169166819346,12.5588205608711,12.8259810386051,12.4530622640691,13.0182872154499,13.376489469761,13.3968825762345,12.7243312881051
"HSP90AB1",13.2425794747606,12.9801132799204,12.7367827191096,13.214567145827,13.0541919203293,13.2520342183426,12.8017054381603,13.0339366653542
"RPS6",13.2842325925557,12.9121851703257,12.3872857424825,12.5412439304308,13.2050604453805,13.4899272361987,13.0724462860114,13.068215314565
"RPL10",13.2927775059942,12.9897403886041,12.5068650947994,12.7414104378995,13.2122918156417,13.2883887242834,13.0602864056055,13.0012376881543
"RPS24",13.3258045699761,12.8496063595454,12.2353598589751,12.4802231024116,13.2512003743856,13.4220785761397,13.0809719467068,13.0845389960464
"ATP1A1",12.3827892123231,13.2716230605662,12.8106459713975,13.6882290726351,12.8143203412275,12.8219220353043,12.8169172713673,13.2636721536633
"HLA-A",13.7318245384633,12.9939371551648,13.1421953197468,12.254275791142,13.5269362990105,13.2582436705282,11.8924078298646,12.6842552135734
"RPL7",13.2990002348468,12.8033969169207,12.315133300318,12.4626221876944,13.2985905542009,13.3668084697534,13.0465931410784,13.0323336623715
"PDGFRA",13.3077023959997,12.7350209648664,13.4894580510262,12.7322105890633,12.7403788504203,13.0494543687685,13.1119341312072,12.6362062781416
"GNAS",12.4611295798565,13.0267652211471,12.8769682816103,13.5795486587112,12.5851104469813,12.4959366910183,12.6018885942242,13.8154695100291
"TMBIM6",12.7535900272527,13.2353342615467,12.7608204951954,13.2238834428616,12.9666683431832,13.0329920542643,12.9714382280361,12.9777702701122
"ATP2A2",12.7090580216212,13.4029106494564,12.7992874858726,13.0036809234016,13.1309376218496,12.9590364694628,12.8022619288884,13.1243164150792
"FLNB",12.7426758206414,13.2150049900291,13.0713054936699,12.8359162835488,13.130736118722,13.0039422299996,13.1791793088115,12.7131991472993
"CNDP2",12.3267845385363,13.5714094750847,12.6893986786781,13.2629760981038,12.5363818683827,12.5261747547018,13.1674891456678,13.3444248121886
