"","SRR6286050","SRR6286052","SRR6286054","SRR6286056","SRR6286058","SRR6286060","SRR6286062","SRR6286064","SRR6286066","SRR6286068","SRR6286070","SRR6286072","SRR6286074","SRR6286076","SRR6286078","SRR6286079","SRR6286080","SRR6286081","SRR6286082","SRR6286083","SRR6286084","SRR6286085","SRR6286086","SRR6286087","SRR6286088","SRR6286089","SRR6286090","SRR6286091","SRR6286092","SRR6286093","SRR6286094","SRR6286095","SRR6286096","SRR6286097","SRR6286098"
"EEF2",15.3318962603332,15.4022382457706,16.0423423935848,15.7259296392882,15.8102215754732,15.4487435101622,15.4725435757586,15.6879357828339,16.1503221368444,15.6250575348863,15.6190516912624,15.4898251173783,15.339308892855,16.373169644613,15.4481086541644,15.2736716460638,16.3738660141,16.0954410455905,15.9489870905437,15.5315975051436,16.5221887887912,16.4329512196465,16.8131463386683,16.1758217472549,15.6860905534269,15.4787138998726,15.7563180141533,15.1850605637126,15.7254455994584,18.3320949399399,16.3421072473269,16.0906945910269,15.2413240949333,17.0886127018176,16.8702383144281
"RPL3",15.5565352092659,15.5261789625777,16.249985372311,15.7687228463289,16.0096285684498,15.4397296976961,15.3845043003711,15.771409204581,16.6257759107385,16.0453883910299,15.5735895218301,15.60924040793,15.7802763751376,16.5163782790066,15.8764211209248,15.8391303650959,16.1883316750885,16.329523387598,16.1992934886373,15.6992569492936,15.9781204222099,16.1697413179815,15.6140927730761,16.3247463481776,16.0850190864593,15.9468585773494,16.3530987984441,15.945620792149,16.0699489576006,17.2660274328066,16.55839509952,16.2171237366028,15.3506544220366,15.9505589822542,16.3999091722428
"ACTG1",15.4256516672952,15.668019713176,15.8952035787143,15.7155985324761,15.7062012507538,15.8682668687338,15.4908907194164,16.1215387586663,16.411078364884,15.6876019359394,15.9542196244427,15.9739443756482,15.7972681536773,16.0003363456342,15.3864540907428,15.5328573680111,16.3083002429962,16.1373650195419,16.2349430030306,16.0433604890291,15.8939361088047,16.2276487497994,15.6813164811659,16.0156390842149,16.1889993002956,16.2124063897104,16.4461629126183,15.4174849033634,16.2343724067674,16.9602639234986,16.6199170668122,15.9991714124865,15.6359720104572,16.0728382944775,16.2304635220774
"MT-ND3",15.6328895101545,15.0062642859481,14.6669351716511,15.1273694724426,14.8116860340342,15.1697395258471,15.1609031785974,14.9752055290541,16.1623582508355,15.2548116776309,15.026058814395,15.4903444760039,16.679964976088,16.1657424102793,14.8106416879703,14.7565642270895,17.1509265868619,15.7468857440636,15.8491141872024,15.1248450866095,17.211607390666,16.7721691736073,18.5068470940547,15.918262090306,15.8615571573365,16.0358578036207,15.9509934607444,14.6915220063248,16.7275932964461,18.1447874045403,16.1939292452337,16.1734012717886,14.9428378522036,17.9360151756697,17.1138129950341
"AHNAK",16.3045290172498,16.465241850691,15.9214394647334,15.9173427743946,15.2938120922936,16.6504158694912,16.7591607904237,16.1954757834364,15.386896119988,16.0089966368533,16.3614543427366,16.2408813934678,15.8958263789337,15.1276111196567,15.0967064171216,15.9937794867341,15.4846160541217,14.7609244673526,15.5893575480071,15.9884057233637,15.290905360751,14.7271128705597,14.4486544574886,14.9830495980809,15.2595075770512,15.1858613166932,15.5591607268963,14.0786634503067,15.2307135155196,14.2883842459042,14.7204227971348,14.8243696730525,16.5758079947891,14.4024473608097,14.368191949298
"SRRM2",14.7038315250452,15.7787942929125,15.5007339927861,15.544641042638,15.5948765934306,15.6044274017379,15.7325259542558,15.3750353552372,15.7128932658521,15.5931150212483,15.7329855535081,15.4912412239268,15.5342559763793,16.115814010792,15.547657618948,15.873630858824,16.0556265688408,16.1465465884514,15.4171043719685,15.0667629913907,15.9790828185736,16.0235517887254,17.2128431210612,15.8400206647362,15.6999290408151,16.0000558741201,15.6798259839372,14.7764510656251,15.7661585378896,17.0642215504027,16.2166993159531,16.2500213909524,15.6598419752357,16.9513691656844,16.596972570248
"RPL13A",15.2121298946889,15.0901793350999,15.6868692059986,15.4026335908832,15.5386971762817,15.0393016802327,15.1138744332789,15.4643199499236,16.2514391854496,15.5460095257903,15.1075829021733,15.1841367005275,15.439769284157,16.3051023996869,15.5827831771373,15.399802445182,16.1592151855077,16.1305350514377,15.8057148563182,15.223639950334,16.0798104910737,16.0607812493098,15.9177588613235,16.0872605823059,15.8595495598773,15.7428332229625,16.2472241264183,15.3926640640747,15.9345565134507,17.1268277583247,16.4348311502499,16.0053166373561,15.0251999817042,16.089992920858,16.5444763845644
"GAPDH",15.3133264621585,15.3078970501545,15.2812513000755,15.0046184931986,15.4135663572804,15.3336999863895,14.8729244529158,15.3640395754607,15.6059909901806,15.6610606260502,15.7437109393084,15.6516140350093,15.4620806170589,15.8114357423255,15.0844317771897,15.4837060406454,15.9980972498351,15.7163297784454,15.9419243490879,15.8848113709982,15.910975587031,16.0622078237111,15.1786376718704,15.9235040480635,16.0013047657505,15.9289081419537,15.7104689026042,15.4399998218516,16.1688824011088,17.0987681252063,16.5939696055017,15.8819154474476,15.3191338911878,16.4245745907648,15.8892995069667
"GABRP",16.6430020629706,16.1208442812844,15.4905176696236,15.7469458925227,14.488026891887,16.4876884784039,16.1482946170645,15.9180609813215,14.2189767241747,16.1649140254956,16.4138722958003,15.9464957080831,15.6422966073725,14.181405685598,14.7543030222517,15.9974664586958,15.6192535914342,14.5848485157571,15.8839517036049,15.6139455900368,15.5942321943512,14.369078441996,14.9194772145786,14.8617569990502,15.591332777843,15.3416928748979,15.41964674281,13.6788820159062,15.117382219252,13.1656036479513,15.3163529639473,14.8403426655272,15.8159526570416,15.0449680252908,15.6436106657263
"B2M",17.1029652477669,15.7951961275337,16.2419854425431,16.1652158808718,15.7708311460699,15.2928744667627,15.1127426772378,15.4815711815266,15.8538534231103,16.3768807889738,15.3151325616999,15.0840409060075,16.5458218024447,14.4648833146586,15.4467262294021,16.0736521454501,15.6474210302391,15.5223685164478,15.6965200868585,15.4859137414056,14.9826214267478,15.5672054917469,15.0813825827997,15.0333099603411,15.6002295857849,14.9292777106521,15.7340030504376,15.3777510719686,15.6430646963141,14.7510226724622,15.2554572395145,14.5343428111548,14.8575749753567,13.8632377600166,15.16394725406
